driverId;number
1;22
2;3
3;7
4;5
5;23
6;8
7;14
8;1
9;4
10;12
11;18
12;6
13;2
14;9
15;11
16;20
17;10
18;16
19;19
20;15
21;21
22;17
8;1
9;4
5;23
15;11
1;22
2;3
17;10
4;5
14;9
18;16
12;6
21;21
22;17
3;7
19;19
11;18
6;8
20;15
13;2
16;20
10;12
7;14
13;2
8;1
9;4
2;3
5;23
15;11
17;10
3;7
10;12
4;5
22;17
21;21
1;22
6;8
7;14
19;19
11;18
14;9
16;20
12;6
18;16
20;15
8;1
13;2
1;22
9;4
17;10
18;16
6;8
15;11
2;3
21;21
10;12
14;9
11;18
3;7
4;5
22;17
5;23
19;19
7;14
12;6
16;20
20;15
13;2
1;22
8;1
9;4
2;3
4;5
17;10
3;7
14;9
15;11
18;16
5;23
10;12
22;17
12;6
16;20
20;15
7;14
6;8
21;21
1;22
9;4
13;2
17;10
20;15
22;17
6;8
5;23
8;1
4;5
18;16
10;12
15;11
2;3
16;20
3;7
12;6
21;21
14;9
7;14
9;4
2;3
14;9
10;12
13;2
15;11
22;17
20;15
5;23
3;7
18;16
17;10
7;14
21;21
6;8
4;5
12;6
8;1
1;22
16;20
13;2
8;1
15;11
5;23
9;4
17;10
12;6
4;5
14;9
1;22
10;12
20;15
2;3
22;17
6;8
3;7
7;14
21;21
16;20
18;16
1;22
2;3
22;17
8;1
5;23
4;5
15;11
6;8
3;7
17;10
7;14
10;12
13;2
9;4
18;16
12;6
21;21
16;20
20;15
14;9
1;22
12;6
13;2
2;3
5;23
8;1
9;4
20;15
15;11
3;7
4;5
7;14
14;9
6;8
16;20
21;21
18;16
22;17
17;10
10;12
5;23
10;12
8;1
4;5
1;22
12;6
15;11
9;4
17;10
2;3
14;9
18;16
6;8
3;7
21;21
22;17
13;2
7;14
16;20
20;15
13;2
1;22
9;4
5;23
15;11
20;15
10;12
3;7
2;3
7;14
12;6
17;10
18;16
21;21
6;8
22;17
14;9
8;1
16;20
4;5
13;2
2;3
1;22
4;5
20;15
9;4
7;14
17;10
10;12
5;23
14;9
3;7
16;20
6;8
18;16
15;11
21;21
8;1
22;17
12;6
20;15
5;23
9;4
4;5
2;3
13;2
1;22
17;10
8;1
12;6
10;12
6;8
15;11
3;7
18;16
14;9
22;17
7;14
16;20
21;21
4;5
3;7
1;22
10;12
20;15
2;3
14;9
6;8
18;16
5;23
9;4
7;14
13;2
21;21
8;1
15;11
16;20
17;10
22;17
12;6
4;5
9;4
8;1
12;6
15;11
20;15
13;2
17;10
2;3
7;14
3;7
1;22
22;17
18;16
6;8
21;21
5;23
16;20
10;12
14;9
1;22
13;2
8;1
4;5
2;3
9;4
10;12
12;6
20;15
14;9
22;17
6;8
7;14
17;10
3;7
18;16
21;21
5;23
16;20
15;11
13;2
4;5
8;1
20;15
1;22
10;12
5;23
15;11
17;10
2;3
9;4
3;7
18;16
7;14
22;17
16;20
6;8
21;21
12;6
14;9
8;6
4;1
1;2
2;9
21;3
13;5
3;16
23;11
15;12
5;4
22;8
11;22
17;15
24;18
18;7
19;23
16;20
25;17
14;14
9;10
26;19
27;21
4;1
1;2
8;6
2;9
13;5
21;3
15;12
5;4
25;17
17;15
22;8
18;7
11;22
26;19
23;11
19;23
24;18
9;10
3;16
14;14
27;21
16;20
13;5
1;2
8;6
2;9
4;1
9;10
15;12
21;3
5;4
3;16
25;17
23;11
22;8
27;21
16;20
19;23
17;15
14;14
11;22
24;18
18;7
26;19
13;5
1;2
4;1
9;10
14;14
3;16
5;4
11;22
21;3
22;8
19;23
18;7
16;20
27;21
2;9
23;11
24;18
26;19
8;6
15;12
17;15
25;17
4;1
1;2
13;5
21;3
9;10
2;9
25;17
8;6
26;19
22;8
18;7
3;16
5;4
14;14
15;12
23;11
11;22
19;23
27;21
16;20
17;15
24;18
1;2
2;9
25;17
5;4
8;6
11;22
4;1
23;11
17;15
3;16
19;23
22;8
15;12
24;18
27;21
14;14
9;10
16;20
26;19
18;7
13;5
21;3
1;2
4;1
13;5
8;6
5;4
15;12
17;15
20;10
21;3
25;17
19;23
18;7
26;19
16;20
27;21
3;16
24;18
2;9
11;22
14;14
22;8
23;11
8;6
13;5
1;2
9;10
2;9
21;3
4;1
18;7
3;16
23;11
22;8
17;15
14;14
25;17
5;4
11;22
16;20
26;19
27;21
19;23
15;12
24;18
8;6
4;1
1;2
9;10
13;5
2;9
5;4
21;3
22;8
18;7
14;14
3;16
25;17
11;22
27;21
24;18
15;12
19;23
26;19
23;11
16;20
17;15
4;1
13;5
17;15
25;17
14;14
2;9
9;10
5;4
1;2
21;3
22;8
19;23
15;12
8;6
11;22
23;11
28;21
18;7
16;20
3;16
26;19
24;18
1;2
8;6
2;9
4;1
9;10
23;11
3;16
5;4
17;15
15;12
14;14
21;3
13;5
25;17
11;22
20;19
16;20
22;8
24;18
19;23
18;7
29;21
13;5
8;6
4;1
2;9
1;2
5;4
3;16
9;10
21;3
14;14
25;17
23;11
18;7
19;23
24;18
15;12
22;8
11;22
20;19
29;21
16;20
17;15
4;1
1;2
8;6
2;9
9;10
3;16
5;4
18;7
17;15
22;8
15;12
21;3
25;17
19;23
23;11
11;22
24;18
20;19
16;20
29;21
13;5
14;14
8;6
13;5
4;1
1;2
2;9
3;16
17;15
5;4
9;10
23;11
15;12
24;18
22;8
16;20
11;22
19;23
29;21
18;7
25;17
14;14
20;19
21;3
1;2
5;4
8;6
14;14
21;3
13;5
9;10
16;20
24;18
22;8
18;7
29;21
15;12
2;9
11;22
23;11
19;23
3;16
20;19
17;15
4;1
25;17
8;6
4;1
13;5
20;19
18;7
24;18
2;9
14;14
5;4
17;15
21;3
25;17
15;12
11;22
22;8
3;16
29;21
9;10
1;2
23;11
16;20
19;23
8;6
13;5
4;1
3;16
9;10
2;9
1;2
15;12
14;14
6;17
23;11
11;22
24;18
19;23
16;20
22;8
5;4
20;19
18;7
17;15
29;21
21;3
4;1
30;5
8;3
18;12
31;4
17;9
3;10
32;15
13;6
14;14
24;20
2;16
26;21
23;7
22;11
15;8
33;18
11;22
34;23
35;17
21;2
27;19
21;2
4;1
18;12
31;4
13;6
30;5
35;17
23;7
15;8
22;11
24;20
27;19
33;18
11;22
2;16
26;21
34;23
32;15
17;9
14;14
3;10
8;3
4;1
8;3
23;7
2;16
21;2
35;17
22;11
14;14
26;21
18;12
27;19
11;22
34;23
31;4
33;18
24;20
30;5
17;9
32;15
15;8
3;10
13;6
30;5
4;1
31;4
13;6
8;3
17;9
18;12
21;2
23;7
22;11
3;10
35;17
2;16
24;20
26;21
33;18
14;14
11;22
32;15
34;23
15;8
27;19
30;5
4;1
13;6
8;3
22;11
21;2
3;10
35;17
15;8
2;16
26;21
33;18
27;19
23;7
31;4
11;22
36;23
18;12
32;15
17;9
14;14
24;20
4;1
30;5
21;2
13;6
8;3
18;12
22;11
2;16
17;9
15;8
3;10
35;17
32;15
14;14
24;20
33;18
11;22
27;19
26;21
23;7
31;4
36;23
4;1
31;4
14;14
22;11
30;5
21;2
2;16
23;7
13;6
24;20
18;12
27;19
26;21
35;17
33;18
36;23
15;8
32;15
3;10
8;3
17;9
11;22
4;1
30;5
8;3
21;2
13;6
31;4
2;16
35;17
3;10
22;11
15;8
14;14
24;20
32;15
27;19
33;18
11;22
36;23
18;12
26;21
23;7
17;9
4;1
30;5
8;3
21;2
13;6
15;8
2;16
14;14
18;12
26;21
32;15
17;9
24;20
33;18
11;22
35;17
23;7
31;4
22;11
36;23
3;10
27;19
30;5
13;6
21;2
15;8
4;1
22;11
14;14
24;20
3;10
23;7
27;19
35;17
33;18
11;22
18;12
8;3
2;16
31;4
17;9
26;21
32;15
36;23
30;5
4;1
13;6
23;7
8;3
21;2
37;4
2;16
14;14
26;21
35;17
32;15
24;20
3;10
27;19
36;23
18;12
17;9
15;8
22;11
33;18
11;22
30;5
13;6
8;3
18;12
4;1
21;2
15;8
32;15
23;7
24;20
14;14
26;21
17;9
11;22
35;17
22;11
2;16
37;4
29;23
3;10
27;19
33;18
18;12
37;4
2;16
22;11
14;14
23;7
13;6
30;5
33;18
27;19
26;21
15;8
11;22
4;1
8;3
24;20
3;10
21;2
32;15
17;9
29;23
9;17
13;6
4;1
30;5
18;12
37;4
21;2
23;7
22;11
15;8
17;9
32;15
9;17
26;21
2;16
14;14
27;19
11;22
3;10
29;23
24;20
8;3
33;18
30;5
8;3
9;17
21;2
18;12
22;11
15;8
2;16
13;6
17;9
32;15
14;14
26;21
24;20
23;7
11;22
27;19
33;18
4;1
37;4
29;23
3;10
30;5
4;1
21;2
18;12
37;4
22;11
2;16
17;9
14;14
24;20
3;10
38;15
9;17
26;21
27;19
29;23
23;7
13;6
15;8
33;18
8;3
11;22
4;1
13;6
21;2
18;12
8;3
15;8
23;7
2;16
9;17
3;10
37;4
22;11
38;15
24;20
11;22
33;18
29;23
26;21
17;9
30;5
14;14
27;19
13;6
4;1
18;12
30;5
8;3
21;2
22;11
37;4
9;17
11;22
26;21
38;15
24;20
27;19
33;18
29;23
2;16
14;14
15;8
23;7
17;9
3;10
21;6
22;2
4;5
14;14
17;7
31;10
32;15
8;9
15;16
13;12
18;3
23;17
35;11
11;4
39;19
33;18
40;20
30;1
2;8
27;21
4;5
15;16
2;8
31;10
23;17
14;14
30;1
32;15
8;9
13;12
39;19
33;18
27;21
22;2
21;6
17;7
35;11
18;3
19;4
40;20
4;5
15;16
8;9
